| **Issue No.** | **Module / Screen**              | **Issue Category**                         | **Issue Description**                                                                                                                                                                                                                                |
| ------------- | -------------------------------- | ------------------------------------------ | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 1             | App Launch / Network Handling    | Validation / Error Handling                | When the app is launched without an internet connection, an incorrect error message is shown. The app should display a proper validation message informing the user about the lack of internet connectivity.                                         |
| 2             | Login Screen                     | Navigation / UI Behavior                   | A loading screen appears when the user taps the device back button on the login screen, which should not occur.                                                                                                                                      |
| 3             | OTP Verification                 | Validation                                 | No proper validation message is displayed when the user enters an incorrect OTP.                                                                                                                                                                     |
| 4             | Password Setup                   | Navigation / Flow Control                  | When the user is on the password screen and presses the device back button, the app redirects to the Home screen without the user tapping the **Next** or **Save** button.                                                                           |
| 5             | Language Localization            | Localization / Internationalization (i18n) | After selecting an Indic language (e.g., Hindi), only the permission prompt appears in the selected language, while subsequent screens continue to display in English instead of the selected language.                                              |
| 6             | Home User Setup                  | Navigation / Access Control                | The device back button should be disabled on the Home User Setup screen. Currently, pressing the back button redirects the user to the Permissions page.                                                                                             |
| 7             | SMS Invitation                   | Integration / Communication                | Attempting to send an SMS invite fails with a “Failed to send SMS invite” message, and the SMS is not delivered.                                                                                                                                     |
| 8             | Reports / Export                 | Data Formatting / Encoding                 | Special characters are not displayed correctly in the exported Excel report.                                                                                                                                                                         |
| 9             | Laundry Service Type             | UI Layout / Alignment                      | The button overlaps with the text in the Laundry Service Type section.                                                                                                                                                                               |
| 10            | Laundry Service Type             | UI Rendering / Text Display                | Only the first character of the Laundry Service Type text is visible; the remaining text is not displayed properly.                                                                                                                                  |
| 11            | Laundry Module                   | Business Logic / Validation                | Laundry details can be saved even when a past date or a previous month is selected. Proper validation should restrict this behavior.                                                                                                                 |
| 12            | Expense Management               | Functional / File Handling                 | The user is unable to open any attachments from the **View Expense** screen.                                                                                                                                                                         |
| 13            | Global UI / Forms                | UI Responsiveness / Layout                 | Across the app, UI elements overflow beyond the device screen when interacting with text fields, dropdowns, or input boxes.                                                                                                                          |
| 14            | Document Management              | Functional / File Download                 | The user is unable to download a document after clicking the **Download** button.                                                                                                                                                                    |
| 15            | Document View                    | UI Layout / Overlapping Elements           | The image close button overlaps with the image name when the document name is long.                                                                                                                                                                  |
| 16            | Document View                    | Data Display / UI                          | The text “Null” is displayed before the document content, which should not be visible to the user.                                                                                                                                                   |
| 17            | Home Screen Navigation           | Navigation / UX                            | Pressing the device back button on the Home screen should display a confirmation dialog. Currently, the app navigates through previously visited screens instead.                                                                                    |
| 18            | Change Password                  | UI Behavior / Interaction                  | Clicking the password mask/unmask icon toggles both **New Password** and **Confirm Password** fields instead of only the selected field.                                                                                                             |
| 19            | Home Screen                      | UI Rendering / Expand-Collapse             | UI is not displayed correctly when expanding a household card on the Home screen.                                                                                                                                                                    |
| 20            | Profile / Change Password        | Validation / Error Handling                | No proper validation message is shown when an incorrect current password is entered while changing the password from the profile section.                                                                                                            |
| 21            | Global Messages / Notifications  | UI Consistency / UX                        | All success messages should be displayed in green to maintain visual consistency and clearly differentiate success states from error or warning messages.                                                                                            |
| 22            | Global Messages / Dialogs        | UI Design / UX                             | Message dialog boxes are currently too large. They should be resized to a smaller, standard dimension as per Android UI guidelines for better user experience.                                                                                       |
| 23            | Global UI / Keyboard Interaction | UI Responsiveness / Platform Compliance    | When the on-screen keyboard opens, app screens and modal dialogs are not displayed properly. The app should follow standard Android keyboard handling rules to ensure proper resizing, scrolling, and visibility of input fields and action buttons. |
